728),54.7,3.4,37,SF -9,"Akers, David"
729),52.5,3.5,34,RAI-5,"Janikowski, Sebastian"
730),49.3,3.1,34,TEN-11,"Bironas, Rob"
731),44,2.8,24,DAL-5,"Bailey, Dan"
732),43.2,2.7,26,TB -5,"Barth, Connor"
733),41.7,2.6,30,CHI-6,"Gould, Robbie"
734),38.7,2.4,30,JAC-6,"Scobee, Josh"
735),38.2,2.4,30,CIN-8,"Nugent, Mike"
736),38.1,2.7,26,MIA-7,"Carpenter, Dan"
737),37.2,2.3,36,WAS-10,"Rackers, Neil"
738),36.2,2.3,37,ATL-7,"Bryant, Matt"
739),35.2,2.2,37,CLE-10,"Dawson, Phil"
740),34.5,2.2,28,NE -9,"Gostkowski, Stephen"
741),34.4,2.2,42,DET-5,"Hanson, Jason"
742),33.8,2.1,28,GB -10,"Crosby, Mason"
743),33,2.1,27,SEA-11,"Hauschka, Steven"
744),32.6,2.2,32,BAL-8,"Cundiff, Billy"
745),31.8,2,39,IND-4,"Vinatieri, Adam"
746),30.5,1.9,25,WAS-10,"Gano, Graham"
747),30,1.9,25,KC -7,"Succop, Ryan"
748),29.3,1.8,25,PHI-7,"Henery, Alex"
749),28,1.8,27,NYJ-9,"Folk, Nick"
750),25.4,1.6,39,CAR-6,"Mare, Olindo"
751),23.8,1.5,28,DEN-7,"Prater, Matt"
752),23.5,1.5,33,NYJ-9,"Brown, Josh"
753),23.4,1.5,30,PIT-4,"Suisham, Shaun"
754),20.9,1.3,36,ARI-10,"Feely, Jay"
755),19.8,1.2,34,NYG-11,"Tynes, Lawrence"
756),16,2,35,BUF-8,"Lindell, Rian"
757),,,22,BUF-8,"Potter, John(7)"
758),,,22,STL-9,"Zuerlein, Greg(6)"
759),,,22,MIN-11,"Walsh, Blair(6)"
760),,,26,NO -6,"Hartley, Garrett"
761),,,30,SD -7,"Kaeding, Nate"
762),,,22,HOU-8,"Bullock, Randy(5)"
